 Zkm Lat   rhokgm3      pNm2     TK     Zeta    RJkgK
  33  60  8.041E+00  7.211E+05  471.7   .9933  191.40
  34  60  7.420E+00  6.537E+05  463.4   .9934  191.40
  35  60  6.838E+00  5.916E+05  455.0   .9936  191.40
  36  60  6.291E+00  5.344E+05  446.7   .9937  191.40
  37  60  5.777E+00  4.819E+05  438.5   .9939  191.40
  38  60  5.296E+00  4.337E+05  430.4   .9941  191.40
  39  60  4.850E+00  3.896E+05  422.0   .9943  191.40
  40  60  4.429E+00  3.492E+05  414.2   .9945  191.40
  41  60  4.037E+00  3.123E+05  406.4   .9947  191.40
  42  60  3.664E+00  2.788E+05  399.4   .9949  191.40
  43  60  3.326E+00  2.480E+05  391.4   .9951  191.40
  44  60  3.013E+00  2.208E+05  384.5   .9954  191.40
  45  60  2.720E+00  1.958E+05  377.7   .9956  191.40
  46  60  2.452E+00  1.733E+05  370.7   .9959  191.40
  47  60  2.208E+00  1.531E+05  363.6   .9961  191.40
  48  60  1.981E+00  1.349E+05  357.0   .9963  191.40
  49  60  1.771E+00  1.183E+05  350.1   .9966  191.40
  50  60  1.588E+00  1.039E+05  342.9   .9967  191.40
  51  60  1.422E+00  9.085E+04  334.7   .9969  191.40
  52  60  1.272E+00  7.915E+04  326.1   .9971  191.40
  53  60  1.140E+00  6.862E+04  315.4   .9971  191.40
  54  60  1.018E+00  5.926E+04  305.0   .9972  191.40
  55  60  9.064E-01  5.095E+04  294.4   .9973  191.40
  56  60  8.048E-01  4.352E+04  283.2   .9974  191.40
  57  60  7.128E-01  3.693E+04  271.3   .9975  191.40
  58  60  6.245E-01  3.113E+04  261.0   .9976  191.40
  59  60  5.436E-01  2.607E+04  251.0   .9977  191.40
  60  60  4.671E-01  2.169E+04  243.0   .9978  191.40
  62  60  3.359E-01  1.477E+04  230.1   .9982  191.40
  64  60  2.301E-01  9.918E+03  225.5   .9987  191.40
  66  60  1.524E-01  6.648E+03  228.0   .9992  191.40
  68  60  1.013E-01  4.479E+03  231.1   .9995  191.40
  70  60  6.826E-02  3.028E+03  231.9   .9996  191.40
  72  60  4.637E-02  2.047E+03  230.8   .9998  191.40
  74  60  3.159E-02  1.380E+03  228.3   .9998  191.40
  76  60  2.159E-02  9.251E+02  223.9  1.0000  191.40
  78  60  1.477E-02  6.142E+02  217.3  1.0000  191.40
  80  60  1.008E-02  4.018E+02  208.3  1.0000  191.40
  82  60  6.754E-03  2.582E+02  199.7  1.0000  191.40
  84  60  4.438E-03  1.629E+02  191.7  1.0000  191.42
  86  60  2.865E-03  1.008E+02  183.8  1.0000  191.46
  88  60  1.795E-03  6.132E+01  178.4  1.0000  191.53
  90  60  1.105E-03  3.680E+01  173.9  1.0000  191.57
  92  60  6.642E-04  2.187E+01  171.8  1.0000  191.66
  94  60  3.964E-04  1.294E+01  170.2  1.0000  191.80
  96  60  2.345E-04  7.637E+00  169.7  1.0000  191.93
  98  60  1.387E-04  4.502E+00  169.0  1.0000  192.06
 100  60  8.170E-05  2.652E+00  168.8  1.0000  192.24
   0  75  6.479E+01  9.210E+06  735.3  1.0097  191.40
   1  75  6.156E+01  8.645E+06  727.7  1.0080  191.40
   2  75  5.845E+01  8.109E+06  720.2  1.0065  191.40
   3  75  5.547E+01  7.601E+06  712.4  1.0050  191.40
   4  75  5.262E+01  7.120E+06  704.6  1.0036  191.40
   5  75  4.987E+01  6.665E+06  696.8  1.0024  191.40
   6  75  4.724E+01  6.235E+06  688.8  1.0012  191.40
   7  75  4.471E+01  5.828E+06  681.1  1.0001  191.40
   8  75  4.226E+01  5.444E+06  673.6   .9992  191.40
   9  75  3.995E+01  5.081E+06  665.8   .9984  191.40
  10  75  3.772E+01  4.739E+06  658.2   .9976  191.40
  11  75  3.558E+01  4.416E+06  650.6   .9969  191.40
  12  75  3.354E+01  4.112E+06  643.2   .9964  191.40
  13  75  3.160E+01  3.826E+06  635.5   .9958  191.40
  14  75  2.974E+01  3.557E+06  628.1   .9954  191.40
  15  75  2.795E+01  3.304E+06  620.8   .9949  191.40
  16  75  2.627E+01  3.066E+06  613.3   .9946  191.40
  17  75  2.468E+01  2.843E+06  605.2   .9942  191.40
  18  75  2.318E+01  2.633E+06  597.1   .9939  191.40
  19  75  2.174E+01  2.436E+06  589.3   .9937  191.40
  20  75  2.039E+01  2.252E+06  580.7   .9934  191.40
  21  75  1.911E+01  2.079E+06  572.4   .9933  191.40
  22  75  1.788E+01  1.917E+06  564.3   .9931  191.40
  23  75  1.671E+01  1.766E+06  556.0   .9930  191.40
  24  75  1.562E+01  1.625E+06  547.5   .9929  191.40
  25  75  1.457E+01  1.493E+06  539.2   .9929  191.40
  26  75  1.359E+01  1.370E+06  530.7   .9928  191.40
  27  75  1.265E+01  1.256E+06  522.3   .9929  191.40
  28  75  1.177E+01  1.149E+06  513.8   .9929  191.40
  29  75  1.093E+01  1.050E+06  505.6   .9929  191.40
  30  75  1.015E+01  9.581E+05  496.9   .9930  191.40
  31  75  9.406E+00  8.729E+05  488.3   .9931  191.40
  32  75  8.704E+00  7.940E+05  479.9   .9932  191.40
  33  75  8.041E+00  7.211E+05  471.7   .9933  191.40
  34  75  7.420E+00  6.537E+05  463.4   .9934  191.40
  35  75  6.838E+00  5.916E+05  455.0   .9936  191.40
  36  75  6.294E+00  5.345E+05  446.5   .9937  191.40
  37  75  5.786E+00  4.819E+05  437.8   .9939  191.40
  38  75  5.305E+00  4.336E+05  429.5   .9940  191.40
  39  75  4.865E+00  3.894E+05  420.5   .9942  191.40
  40  75  4.448E+00  3.488E+05  412.0   .9944  191.40
  41  75  4.064E+00  3.118E+05  402.9   .9945  191.40
  42  75  3.701E+00  2.780E+05  394.5   .9947  191.40
  43  75  3.362E+00  2.473E+05  386.1   .9949  191.40
  44  75  3.051E+00  2.192E+05  377.3   .9951  191.40
  45  75  2.762E+00  1.941E+05  368.7   .9953  191.40
  46  75  2.495E+00  1.712E+05  360.0   .9955  191.40
  47  75  2.245E+00  1.506E+05  351.9   .9957  191.40
  48  75  2.016E+00  1.320E+05  343.5   .9959  191.40
  49  75  1.802E+00  1.152E+05  335.4   .9961  191.40
  50  75  1.612E+00  1.006E+05  327.3   .9963  191.40
  51  75  1.438E+00  8.741E+04  318.5   .9965  191.40
  52  75  1.277E+00  7.561E+04  310.2   .9967  191.40
  53  75  1.137E+00  6.513E+04  300.1   .9968  191.40
  54  75  1.009E+00  5.582E+04  290.0   .9969  191.40
  55  75  8.909E-01  4.758E+04  279.7   .9970  191.40
  56  75  7.841E-01  4.031E+04  269.2   .9972  191.40
  57  75  6.878E-01  3.390E+04  258.2   .9972  191.40
  58  75  5.974E-01  2.834E+04  248.4   .9974  191.40
  59  75  5.097E-01  2.353E+04  241.8   .9976  191.40
  60  75  4.293E-01  1.948E+04  237.5   .9979  191.40
  62  75  2.993E-01  1.322E+04  231.1   .9984  191.40
  64  75  1.998E-01  8.950E+03  234.3   .9990  191.40
  66  75  1.338E-01  6.097E+03  238.3   .9993  191.40
  68  75  9.030E-02  4.180E+03  242.0   .9996  191.40
  70  75  6.164E-02  2.880E+03  244.2   .9997  191.40
  72  75  4.263E-02  1.987E+03  243.6   .9998  191.40
  74  75  2.971E-02  1.367E+03  240.5   .9999  191.40
  76  75  2.079E-02  9.345E+02  234.9  1.0000  191.40
  78  75  1.470E-02  6.303E+02  224.0  1.0000  191.40
  80  75  1.016E-02  4.176E+02  214.7  1.0000  191.40
  82  75  6.915E-03  2.717E+02  205.3  1.0000  191.40
  84  75  4.618E-03  1.734E+02  196.1  1.0000  191.42
  86  75  3.016E-03  1.084E+02  187.8  1.0000  191.46
  88  75  1.908E-03  6.665E+01  182.4  1.0000  191.53
  90  75  1.186E-03  4.047E+01  178.1  1.0000  191.57
  92  75  7.250E-04  2.433E+01  175.1  1.0000  191.66
  94  75  4.398E-04  1.451E+01  172.0  1.0000  191.80
  96  75  2.638E-04  8.586E+00  169.6  1.0000  191.93
  98  75  1.570E-04  5.048E+00  167.4  1.0000  192.06
 100  75  9.250E-05  2.954E+00  166.1  1.0000  192.24
   0  85  6.479E+01  9.210E+06  735.3  1.0097  191.40
   1  85  6.156E+01  8.645E+06  727.7  1.0080  191.40
   2  85  5.845E+01  8.109E+06  720.2  1.0065  191.40
   3  85  5.547E+01  7.601E+06  712.4  1.0050  191.40
   4  85  5.262E+01  7.120E+06  704.6  1.0036  191.40
   5  85  4.987E+01  6.665E+06  696.8  1.0024  191.40
   6  85  4.724E+01  6.235E+06  688.8  1.0012  191.40
   7  85  4.471E+01  5.828E+06  681.1  1.0001  191.40
   8  85  4.226E+01  5.444E+06  673.6   .9992  191.40
   9  85  3.995E+01  5.081E+06  665.8   .9984  191.40
  10  85  3.772E+01  4.739E+06  658.2   .9976  191.40
  11  85  3.558E+01  4.416E+06  650.6   .9969  191.40
  12  85  3.354E+01  4.112E+06  643.2   .9964  191.40
  13  85  3.160E+01  3.826E+06  635.5   .9958  191.40
  14  85  2.974E+01  3.557E+06  628.1   .9954  191.40
  15  85  2.795E+01  3.304E+06  620.8   .9949  191.40
  16  85  2.627E+01  3.066E+06  613.3   .9946  191.40
  17  85  2.468E+01  2.843E+06  605.2   .9942  191.40
  18  85  2.318E+01  2.633E+06  597.1   .9939  191.40
  19  85  2.174E+01  2.436E+06  589.3   .9937  191.40
  20  85  2.039E+01  2.252E+06  580.7   .9934  191.40
  21  85  1.911E+01  2.079E+06  572.4   .9933  191.40
