Time,X,Y,Z,VX,VY,VZ
6965389.56332879,118867976.581098,2955130.06944561,-5339458.80302672,-8.00919198278603,33.3813462345814,0.134130779207524
7117268.06345324,117543041.584275,8020780.24871814,-5314202.50464901,-9.44198866902848,33.3146849332244,0.198699486445871
7269146.56357769,115998767.545104,13071418.8881057,-5279029.43683655,-10.897056815135,33.1831199469298,0.26470099540066
7421025.06370215,114231977.191969,18096930.0498697,-5233729.43805198,-12.3718466962719,32.9833059044975,0.332043678733037
7572903.5638266,112239891.250719,23086698.4831739,-5178106.8029997,-13.863454398973,32.7118968108289,0.400620062578617
7718631.01642915,110114522.014822,27830475.3701076,-5114866.56593379,-15.3074215489509,32.3810936138891,0.467463511995952
7864358.4690317,107778009.852091,32520841.0184887,-5041818.33580929,-16.7605640442141,31.9784456199782,0.535200322469181
8010085.92163425,105229296.707678,37147123.0393998,-4958843.05174131,-18.2192248772919,31.5011954539906,0.603685362432684
8155813.37423681,102467866.272352,41698263.6487153,-4865843.30757617,-19.6793788420764,30.9467265510594,0.672756076483425
8313862.72479089,99232588.4928867,46535991.1901192,-4753563.50972241,-21.2595540798507,30.2552554347399,0.748118559779119
8471912.07534496,95748231.7888413,51256829.4745039,-4629351.47411913,-22.8300991862683,29.4673011102581,0.823698369849444
8629961.42589905,92016873.092737,55845347.9282783,-4493196.46593324,-24.3842821387411,28.5805270979347,0.899209933354113
8788010.77645313,88041657.4929497,60285790.4267041,-4345133.36518298,-25.9148717505912,27.5930971946196,0.974341976775048
8954969.71280457,83582245.3905928,64797985.379104,-4175883.53339113,-27.4975709161076,26.4392833843232,1.05292401453528
9121928.64915602,78862175.545103,69107970.32195,-3993609.99357794,-29.0355823236468,25.1711241524,1.13027449438455
9288887.58550747,73889789.9489003,73196704.0355484,-3798558.12518461,-30.5187363592004,23.7890378297307,1.20593549292896
9455846.52185891,68675098.0204542,77045300.2029643,-3591048.96945565,-31.9365460858483,22.294527998196,1.27942759378947
9605889.23149874,63791675.1175108,80283737.8895848,-3394265.01209573,-33.1461019544821,20.8576980885014,1.34321231133867
9755931.94113857,58731879.7019976,83300094.8502796,-3188095.77891552,-34.2863006514656,19.335105548818,1.40446940528514
9905974.65077839,53506720.0050837,86081799.544835,-2972949.4408765,-35.3493493546204,17.7305294835326,1.46282473695068
10056017.3604182,48128318.9578945,88616905.0137916,-2749288.25093022,-36.327670190575,16.048628335934,1.51790787857606
10189483.6049497,43226023.6154736,90655588.465275,-2543598.24367766,-37.1207849410475,14.4920313391517,1.56386069010246
10322949.8494811,38223017.1666597,92482969.2137733,-2331981.39476884,-37.8362070767537,12.8831837486059,1.60668767241792
10456416.0940125,33129976.3293966,94092419.3869901,-2114870.97630262,-38.4694450830376,11.2271531347458,1.6461537700469
10589882.338544,27958125.140305,95478012.5459598,-1892729.46720493,-39.0164435065806,9.52948466474657,1.68204023311544
10708700.8860507,23297077.0333002,96518968.4775162,-1691131.80674467,-39.4279283237434,7.98795731178349,1.71081301169303
10827519.4335575,18591484.2309565,97375305.2982544,-1486300.16876657,-39.7660469404865,6.42272018344615,1.73646180425756
